source_url,source_sitemap,proposed_action,proposed_destination,status,notes
https://joaocrusbjj.com/jcbjj-waiver/,page,PRESERVE,,CONTENT-GAP,Operational document may still be used by members
https://joaocrusbjj.com/wpbc-bfb-preview/,page,410,,PROPOSED,App preview URL; verify no external links before removal
https://joaocrusbjj.com/the-complete-bjj-coach/,page,PRESERVE,,CONTENT-GAP,Joao authority or product asset
https://joaocrusbjj.com/the-children-bjj-blueprint/,page,PRESERVE,,CONTENT-GAP,Joao authority or product asset
https://joaocrusbjj.com/summer-camp/,page,NOINDEX,https://joaocrusbjj.com/summer-camp/,READY,Approved 2026-08-03; seasonal holding page links to year-round kids programs and stays out of sitemap
https://joaocrusbjj.com/wpbc-booking-received/,page,REVIEW,,BLOCKED,Legacy booking confirmation URL
https://joaocrusbjj.com/brazilian-jiu-jitsu-teaches-children-to-manage-emotions/,page,REVIEW,,DUPLICATE-CHECK,Potential duplicate of article URL; consolidate with strongest canonical
https://joaocrusbjj.com/how-bjj-helps-special-needs-children-regulate-process-thrive/,page,PRESERVE,,CONTENT-GAP,High-sensitivity article; migrate with careful sourcing and language
https://joaocrusbjj.com/home-page-2/,page,301,https://joaocrusbjj.com/,READY,Approved 2026-08-03; legacy duplicate homepage sitelink
https://joaocrusbjj.com/shop/,page,REVIEW,,BLOCKED,Confirm whether ecommerce remains in scope
https://joaocrusbjj.com/blog/,post,PRESERVE,https://joaocrusbjj.com/blog/,CONTENT-GAP,Blog index must remain if articles are migrated
https://joaocrusbjj.com/7-ways-bjj-builds-confidence/,post,PRESERVE,https://joaocrusbjj.com/7-ways-bjj-builds-confidence/,CONTENT-GAP,Migrate and improve firsthand support
https://joaocrusbjj.com/the-paradox-of-vulnerability-on-the-mats-what-brazilian-jiu-jitsu-teaches-us-about-real-strength/,post,PRESERVE,https://joaocrusbjj.com/the-paradox-of-vulnerability-on-the-mats-what-brazilian-jiu-jitsu-teaches-us-about-real-strength/,CONTENT-GAP,Migrate article and author attribution
https://joaocrusbjj.com/how-brazilian-jiu-jitsu-teaches-children-to-manage-their-emotions/,post,PRESERVE,https://joaocrusbjj.com/how-brazilian-jiu-jitsu-teaches-children-to-manage-their-emotions/,CONTENT-GAP,Migrate with claim-safe sourcing
https://joaocrusbjj.com/how-brazilian-jiu-jitsu-helps-children-manage-anxiety-a-different-approach-to-martial-arts/,post,PRESERVE,https://joaocrusbjj.com/how-brazilian-jiu-jitsu-helps-children-manage-anxiety-a-different-approach-to-martial-arts/,CONTENT-GAP,Migrate with careful mental-health language and sources
https://joaocrusbjj.com/category/uncategorized/,category,301,https://joaocrusbjj.com/blog/,PROPOSED,Do not preserve an empty uncategorized archive
https://joaocrusbjj.com/product/ceremonial-grade-matcha/,product,410,,OWNER-CONFIRM,Appears unrelated to BJJ and likely template content
https://joaocrusbjj.com/product/fair-trade-matcha-powder/,product,410,,OWNER-CONFIRM,Appears unrelated to BJJ and likely template content
https://joaocrusbjj.com/product/organic-matcha-green-tea/,product,410,,OWNER-CONFIRM,Appears unrelated to BJJ and likely template content
https://joaocrusbjj.com/product-category/tea/,product-category,410,,OWNER-CONFIRM,Appears unrelated to BJJ and likely template content
https://joaocrusbjj.com/product-category/organic/,product-category,410,,OWNER-CONFIRM,Appears unrelated to BJJ and likely template content
https://joaocrusbjj.com/product-category/powder/,product-category,410,,OWNER-CONFIRM,Appears unrelated to BJJ and likely template content
